date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:18	30352/30352	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Oct%202018%2021:13:53%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/engo-customize.scss.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/engo-customize.scssc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:19	2543/2543	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2009:28:53%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/umbg.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/umbgc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:19	50592/50592	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20Sep%202018%2021:07:30%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2017.09.05.1	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min97e4.js	(from https://zoa-store-demo.myshopify.com/)
20:39:19	6004/6004	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Oct%202018%2021:08:53%20GMT	http://cdn.shopify.com/s/assets/shop_events_listener-76ce6d7f3e50d4b8c05874c34d2ea1340c45e5babba61276dadcaeed488ca16a.js	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/assets/shop_events_listener-76ce6d7f3e50d4b8c05874c34d2ea1340c45e5babba61276dadcaeed488ca16a.js	(from https://zoa-store-demo.myshopify.com/)
20:39:21	36117/36117	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2029%20May%202018%2018:40:10%20GMT	http://cdn.shopify.com/s/assets/storefront/features-35fa919124302b0d097cdba90a4cba671b688a3c3c61403c926ff7818bbb918f.js	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/assets/storefront/features-35fa919124302b0d097cdba90a4cba671b688a3c3c61403c926ff7818bbb918f.js	(from https://zoa-store-demo.myshopify.com/)
20:39:22	6063/6063	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20Jul%202017%2018:40:45%20GMT	http://cdn.shopify.com/s/assets/themes_support/api.jquery-0ea851da22ae87c0290f4eeb24bc8b513ca182f3eb721d147c009ae0f5ce14f9.js	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/assets/themes_support/api.jquery-0ea851da22ae87c0290f4eeb24bc8b513ca182f3eb721d147c009ae0f5ce14f9.js	(from https://zoa-store-demo.myshopify.com/)
20:39:23	9640/9640	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20Jul%202017%2018:40:46%20GMT	http://cdn.shopify.com/s/assets/themes_support/option_selection-ea4f4a242e299f2227b2b8038152223f741e90780c0c766883939e8902542bda.js	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/assets/themes_support/option_selection-ea4f4a242e299f2227b2b8038152223f741e90780c0c766883939e8902542bda.js	(from https://zoa-store-demo.myshopify.com/)
20:39:23	15514/15514	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Aug%202018%2009:28:45%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/modernizr-2.8.3.min.js?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/modernizr-2.8.3.minc705.js	(from https://zoa-store-demo.myshopify.com/)
20:39:24	2545/2545	---M--	200	added ('OK')	image/gif	date:Fri,%2019%20Oct%202018%2016:39:24%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/loader.gif?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/loaderc705.gif	(from https://zoa-store-demo.myshopify.com/)
20:39:25	188162/188162	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2017%20Oct%202018%2019:25:34%20GMT	http://cdn.shopify.com/s/assets/storefront/express_buttons-7f78c56501d464e96da182604184a47637356bfb73f1dbfb1fa270ee47fe033e.js	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/assets/storefront/express_buttons-7f78c56501d464e96da182604184a47637356bfb73f1dbfb1fa270ee47fe033e.js	(from https://zoa-store-demo.myshopify.com/)
20:39:25	97362/97362	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Aug%202018%2009:28:40%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/jquery-1.12.0.min.js?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/jquery-1.12.0.minc705.js	(from https://zoa-store-demo.myshopify.com/)
20:39:27	117215/117215	---MCZ	200	added ('OK')	text/html	etag:cacheable:b3bf9681ce7524c2c7355f04437a23ae	https://zoa-store-demo.myshopify.com/collections/all	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/collections/all.html	(from https://zoa-store-demo.myshopify.com/)
20:39:27	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:26%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35567697993	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index329f.html	(from https://zoa-store-demo.myshopify.com/)
20:39:27	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:27%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35615637577	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index6709.html	(from https://zoa-store-demo.myshopify.com/)
20:39:27	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:27%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35616882761	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index817f.html	(from https://zoa-store-demo.myshopify.com/)
20:39:28	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:28%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35617636425	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index7eab.html	(from https://zoa-store-demo.myshopify.com/)
